Host Parallel Execution Space:
  KOKKOS_ENABLE_OPENMP: yes

OpenMP Runtime Configuration:
Kokkos::OpenMP thread_pool_topology[ 1 x 48 x 1 ]
Reading ParaDiS configuration
 Input file: /data/home/dg000246b/openDIS/HomeWork/init_data_pure/init_config.data
 nodes: 4163, segments: 3927
 Warning: Burgers vector is not conserved for 472 node(s)
Step =      0: nodes = 4163, dt = 0.000000e+00, strain = 0.000000e+00, elapsed = 0.3 sec
Step =     55: nodes = 845, dt = 1.887067e-08, strain = 1.132190e-04, elapsed = 6.1 sec
Step =     56: nodes = 844, dt = 2.264480e-08, strain = 1.358638e-04, elapsed = 6.8 sec
Step =     57: nodes = 842, dt = 2.717376e-08, strain = 1.630376e-04, elapsed = 7.6 sec
Step =     58: nodes = 837, dt = 3.260852e-08, strain = 1.956461e-04, elapsed = 8.6 sec
Step =     59: nodes = 794, dt = 3.913022e-08, strain = 2.347763e-04, elapsed = 9.9 sec
Step =     60: nodes = 758, dt = 4.695626e-08, strain = 2.817326e-04, elapsed = 11.0 sec
Step =     61: nodes = 742, dt = 5.634751e-08, strain = 3.380801e-04, elapsed = 12.6 sec
Step =     62: nodes = 721, dt = 6.761702e-08, strain = 4.056971e-04, elapsed = 14.3 sec
Step =     63: nodes = 702, dt = 8.114042e-08, strain = 4.868375e-04, elapsed = 16.4 sec
Step =     64: nodes = 690, dt = 9.736850e-08, strain = 5.842060e-04, elapsed = 19.2 sec
Step =     65: nodes = 685, dt = 1.000000e-07, strain = 6.842060e-04, elapsed = 22.0 sec
Step =     66: nodes = 682, dt = 1.000000e-07, strain = 7.842060e-04, elapsed = 24.9 sec
Step =     67: nodes = 679, dt = 1.000000e-07, strain = 8.842060e-04, elapsed = 27.8 sec
Step =     68: nodes = 673, dt = 1.000000e-07, strain = 9.842060e-04, elapsed = 30.9 sec
Step =     69: nodes = 665, dt = 1.000000e-07, strain = 1.084206e-03, elapsed = 33.6 sec
Step =     70: nodes = 657, dt = 1.000000e-07, strain = 1.184206e-03, elapsed = 36.1 sec
Step =     71: nodes = 654, dt = 1.000000e-07, strain = 1.284206e-03, elapsed = 38.5 sec
Step =     72: nodes = 652, dt = 1.000000e-07, strain = 1.384206e-03, elapsed = 40.8 sec
Step =     73: nodes = 649, dt = 1.000000e-07, strain = 1.484206e-03, elapsed = 43.4 sec
Step =     74: nodes = 645, dt = 1.000000e-07, strain = 1.584206e-03, elapsed = 45.7 sec
Step =     75: nodes = 641, dt = 1.000000e-07, strain = 1.684206e-03, elapsed = 48.1 sec
Step =     76: nodes = 638, dt = 1.000000e-07, strain = 1.784206e-03, elapsed = 50.5 sec
Step =     77: nodes = 636, dt = 1.000000e-07, strain = 1.884206e-03, elapsed = 52.9 sec
Step =     78: nodes = 635, dt = 1.000000e-07, strain = 1.984206e-03, elapsed = 55.3 sec
Step =     79: nodes = 633, dt = 1.000000e-07, strain = 2.084206e-03, elapsed = 57.9 sec
Step =     80: nodes = 631, dt = 1.000000e-07, strain = 2.184206e-03, elapsed = 60.4 sec
Step =     81: nodes = 630, dt = 1.000000e-07, strain = 2.284206e-03, elapsed = 62.8 sec
Step =     82: nodes = 629, dt = 1.000000e-07, strain = 2.384206e-03, elapsed = 65.3 sec
Step =     83: nodes = 626, dt = 1.000000e-07, strain = 2.484206e-03, elapsed = 67.9 sec
Step =     84: nodes = 625, dt = 1.000000e-07, strain = 2.584206e-03, elapsed = 70.2 sec
Step =     85: nodes = 625, dt = 1.000000e-07, strain = 2.684206e-03, elapsed = 72.4 sec
Step =     86: nodes = 625, dt = 1.000000e-07, strain = 2.784206e-03, elapsed = 74.6 sec
Step =     87: nodes = 624, dt = 1.000000e-07, strain = 2.884206e-03, elapsed = 76.8 sec
Step =     88: nodes = 624, dt = 1.000000e-07, strain = 2.984206e-03, elapsed = 79.1 sec
Step =     89: nodes = 624, dt = 1.000000e-07, strain = 3.084206e-03, elapsed = 81.5 sec
Step =     90: nodes = 624, dt = 1.000000e-07, strain = 3.184206e-03, elapsed = 83.6 sec
Step =     91: nodes = 623, dt = 1.000000e-07, strain = 3.284206e-03, elapsed = 85.8 sec
Step =     92: nodes = 623, dt = 1.000000e-07, strain = 3.384206e-03, elapsed = 88.1 sec
Step =     93: nodes = 623, dt = 1.000000e-07, strain = 3.484206e-03, elapsed = 90.3 sec
Step =     94: nodes = 623, dt = 1.000000e-07, strain = 3.584206e-03, elapsed = 92.7 sec
Step =     95: nodes = 622, dt = 1.000000e-07, strain = 3.684206e-03, elapsed = 95.3 sec
Step =     96: nodes = 621, dt = 1.000000e-07, strain = 3.784206e-03, elapsed = 97.4 sec
Step =     97: nodes = 619, dt = 1.000000e-07, strain = 3.884206e-03, elapsed = 99.4 sec
Step =     98: nodes = 618, dt = 1.000000e-07, strain = 3.984206e-03, elapsed = 101.5 sec
Step =     99: nodes = 618, dt = 1.000000e-07, strain = 4.084206e-03, elapsed = 103.7 sec
Step =    100: nodes = 618, dt = 1.000000e-07, strain = 4.184206e-03, elapsed = 105.8 sec
Writing configuration in legacy data format
 Output file: /data/home/dg000246b/openDIS/HomeWork/output_Cu_fcc_pure/config.100.data
Writing restart file
 Restart file: /data/home/dg000246b/openDIS/HomeWork/output_Cu_fcc_pure/restart.100.exadis
Step =    101: nodes = 617, dt = 1.000000e-07, strain = 4.284206e-03, elapsed = 107.7 sec
Step =    102: nodes = 617, dt = 1.000000e-07, strain = 4.384206e-03, elapsed = 109.8 sec
Step =    103: nodes = 616, dt = 1.000000e-07, strain = 4.484206e-03, elapsed = 112.0 sec
Step =    104: nodes = 616, dt = 1.000000e-07, strain = 4.584206e-03, elapsed = 113.9 sec
Step =    105: nodes = 616, dt = 1.000000e-07, strain = 4.684206e-03, elapsed = 115.9 sec
Step =    106: nodes = 615, dt = 1.000000e-07, strain = 4.784206e-03, elapsed = 117.8 sec
Step =    107: nodes = 615, dt = 1.000000e-07, strain = 4.884206e-03, elapsed = 119.7 sec
Step =    108: nodes = 615, dt = 1.000000e-07, strain = 4.984206e-03, elapsed = 121.6 sec
Step =    109: nodes = 614, dt = 1.000000e-07, strain = 5.084206e-03, elapsed = 123.5 sec
Step =    110: nodes = 613, dt = 1.000000e-07, strain = 5.184206e-03, elapsed = 125.4 sec
Step =    111: nodes = 613, dt = 1.000000e-07, strain = 5.284206e-03, elapsed = 127.4 sec
Step =    112: nodes = 613, dt = 1.000000e-07, strain = 5.384206e-03, elapsed = 129.5 sec
Step =    113: nodes = 613, dt = 1.000000e-07, strain = 5.484206e-03, elapsed = 131.6 sec
Step =    114: nodes = 613, dt = 1.000000e-07, strain = 5.584206e-03, elapsed = 133.9 sec
Step =    115: nodes = 614, dt = 1.000000e-07, strain = 5.684206e-03, elapsed = 136.0 sec
Step =    116: nodes = 612, dt = 1.000000e-07, strain = 5.784206e-03, elapsed = 138.2 sec
Step =    117: nodes = 610, dt = 1.000000e-07, strain = 5.884206e-03, elapsed = 140.4 sec
Step =    118: nodes = 610, dt = 1.000000e-07, strain = 5.984206e-03, elapsed = 142.3 sec
Step =    119: nodes = 610, dt = 1.000000e-07, strain = 6.084206e-03, elapsed = 144.0 sec
