Kokkos::OpenMP::initialize WARNING: OMP_PROC_BIND environment variable not set
  In general, for best performance with OpenMP 4.0 or better set OMP_PROC_BIND=spread and OMP_PLACES=threads
  For best performance with OpenMP 3.1 set OMP_PROC_BIND=true
  For unit testing set OMP_PROC_BIND=false

MPI detected: For OpenMP binding to work as intended, MPI ranks must be bound to exclusive CPU sets.

Host Parallel Execution Space:
  KOKKOS_ENABLE_OPENMP: yes

OpenMP Runtime Configuration:
Kokkos::OpenMP thread_pool_topology[ 1 x 48 x 1 ]
Reading ParaDiS configuration
 Input file: 180chains_16.10e.data
 nodes: 5055, segments: 5930
 Burgers vector is conserved for all nodes
Step =      0: nodes = 5055, dt = 0.000000e+00, strain = 0.000000e+00, elapsed = 0.0 sec
Writing configuration in legacy data format
 Output file: output_fcc_Cu_15um_1e3/config.0.data
Writing restart file
 Restart file: output_fcc_Cu_15um_1e3/restart.0.exadis
Run until reaching strain = 0.010000
Step =     54: nodes = 11279, dt = 5.777633e-10, strain = 2.788015e-05, elapsed = 90.9 sec
Step =     55: nodes = 11267, dt = 6.933160e-10, strain = 2.857347e-05, elapsed = 92.9 sec
Step =     56: nodes = 11279, dt = 8.319792e-10, strain = 2.940544e-05, elapsed = 94.5 sec
Step =     57: nodes = 11265, dt = 4.991875e-10, strain = 2.990463e-05, elapsed = 96.9 sec
Step =     58: nodes = 11286, dt = 4.991875e-10, strain = 3.040382e-05, elapsed = 98.1 sec
Step =     59: nodes = 11284, dt = 5.990250e-10, strain = 3.100284e-05, elapsed = 99.8 sec
Step =     60: nodes = 11309, dt = 7.188300e-10, strain = 3.172167e-05, elapsed = 102.4 sec
Step =     61: nodes = 11299, dt = 4.312980e-10, strain = 3.215297e-05, elapsed = 104.3 sec
Step =     62: nodes = 11319, dt = 4.312980e-10, strain = 3.258427e-05, elapsed = 105.9 sec
Step =     63: nodes = 11313, dt = 5.175576e-10, strain = 3.310183e-05, elapsed = 109.3 sec
Step =     64: nodes = 11334, dt = 6.210691e-10, strain = 3.372290e-05, elapsed = 114.3 sec
Step =     65: nodes = 11333, dt = 7.452829e-10, strain = 3.446818e-05, elapsed = 116.7 sec
Step =     66: nodes = 11330, dt = 4.471698e-10, strain = 3.491535e-05, elapsed = 118.3 sec
Step =     67: nodes = 11338, dt = 4.471698e-10, strain = 3.536252e-05, elapsed = 119.9 sec
Step =     68: nodes = 11343, dt = 5.366037e-10, strain = 3.589912e-05, elapsed = 121.5 sec
Step =     69: nodes = 11342, dt = 6.439245e-10, strain = 3.654305e-05, elapsed = 124.3 sec
Step =     70: nodes = 11356, dt = 7.727094e-10, strain = 3.731576e-05, elapsed = 125.9 sec
Step =     71: nodes = 11359, dt = 4.636256e-10, strain = 3.777938e-05, elapsed = 127.4 sec
Step =     72: nodes = 11366, dt = 4.636256e-10, strain = 3.824301e-05, elapsed = 129.8 sec
Step =     73: nodes = 11368, dt = 5.563507e-10, strain = 3.879936e-05, elapsed = 131.0 sec
Step =     74: nodes = 11384, dt = 6.676209e-10, strain = 3.946698e-05, elapsed = 132.7 sec
